,match_id,result,goals,team_id,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,aerial_won,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_goal_low_right,att_sv_low_left,att_pen_goal,att_sv_high_centre,att_goal_low_centre,att_miss_high,att_post_left,post_scoring_att,att_miss_high_right,att_sv_high_right,att_sv_low_right,att_sv_high_left,att_miss_high_left,att_goal_high_right,att_goal_high_left,att_post_right,att_goal_high_centre,penalty_save,att_post_high
20,1190236,3,2.0,13,Arsenal,6.90923076923077,28/10/2017,5.0,1.0,3,16,8,72.9,701,805,23,8.0,2.0,4.0,5.0,17,3.0,17.0,9,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
21,1190236,0,1.0,259,Swansea,6.49428571428571,28/10/2017,2.0,1.0,4,14,17,27.1,218,300,17,2.0,1.0,0.0,2.0,8,2.0,4.0,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1190222,0,2.0,14,Leicester,6.55857142857143,23/09/2017,3.0,0.0,10,15,30,43.3,237,360,41,2.0,4.0,3.0,7.0,24,0.0,12.0,13,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1190222,3,3.0,26,Liverpool,7.14142857142857,23/09/2017,6.0,1.0,12,14,24,56.7,352,486,25,9.0,1.0,8.0,6.0,30,0.0,23.0,14,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24,1190544,0,0.0,183,Bournemouth,5.96142857142857,17/12/2017,2.0,0.0,6,9,8,44.0,414,511,24,2.0,2.0,2.0,2.0,9,1.0,6.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1190544,3,4.0,26,Liverpool,7.59357142857143,17/12/2017,3.0,2.0,7,12,9,56.0,576,655,18,12.0,4.0,2.0,7.0,8,4.0,21.0,10,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,1190223,3,5.0,167,Manchester City,7.66642857142857,09/09/2017,8.0,2.0,4,14,4,66.1,658,730,21,3.0,5.0,0.0,10.0,9,1.0,13.0,10,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
27,1190223,0,0.0,26,Liverpool,5.99642857142857,09/09/2017,3.0,1.0,10,15,9,33.9,288,372,17,2.0,2.0,2.0,3.0,4,1.0,7.0,9,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1190545,3,3.0,96,Stoke,7.49846153846154,23/12/2017,1.0,1.0,10,27,24,43.6,259,357,24,2.0,0.0,2.0,5.0,33,0.0,9.0,9,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,1190545,0,1.0,175,West Bromwich Albion,6.50785714285714,23/12/2017,11.0,4.0,10,16,33,56.4,338,445,41,5.0,2.0,5.0,7.0,24,1.0,17.0,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
