,match_id,team_id,team_name,team_rating,goals,W/L/T,date,fk_foul_lost,won_contest,possession_percentage,total_throws,att_miss_high_left,blocked_scoring_att,total_scoring_att,att_sv_low_left,total_tackle,att_miss_high_right,aerial_won,att_miss_right,att_sv_low_centre,att_miss_high,aerial_lost,att_sv_low_right,total_pass,won_corners,shot_off_target,ontarget_scoring_att,att_miss_left,att_goal_low_left,total_offside,att_sv_high_centre,accurate_pass,att_goal_high_left,att_goal_low_centre,att_goal_high_centre,att_post_left,post_scoring_att,att_sv_high_left,att_sv_high_right,att_goal_high_right,att_goal_low_right,att_post_right,att_post_high,att_pen_goal,penalty_save
195,1190272,23,Newcastle United,6.632857143,2,T,15/10/2017,12,9,38.2,19,,6,19,1,14,1,18,1,1,1,28,1,347,8,8,5,4,1,,,260,,1,,,1,,,,,,1,,
196,1190273,259,Swansea,6.968571429,2,W,14/10/2017,12,3,40.2,23,,2,7,1,15,,20,1,,,13,,360,5,2,3,1,,1,,280,,,,,,,,,2,,,,
197,1190273,166,Huddersfield,6.179285714,,L,14/10/2017,16,12,59.8,18,,4,7,2,16,,13,,,1,20,,539,3,1,2,,,,,458,,,,,,,,,,,,,
198,1190274,14,Leicester,7.013333333,1,W,2/12/17,3,9,51.6,30,,7,16,,7,,25,2,1,,21,,415,10,6,3,3,,1,1,302,,1,,1,1,,,,,,,,
199,1190274,184,Burnley,6.577857143,,L,2/12/17,11,3,48.4,20,1,3,14,2,23,,21,3,1,2,25,,382,7,7,4,1,,6,,282,,,,,,,1,,,,,,
200,1190275,184,Burnley,7.335833333,2,W,18/11/2017,12,6,39.2,16,,6,17,2,23,,24,3,3,,22,,296,8,4,7,1,1,3,,204,,,,,,,,,1,,,,
201,1190275,259,Swansea,6.492857143,,L,18/11/2017,12,15,60.8,25,1,4,14,,10,1,22,3,,3,24,,471,6,9,1,1,,1,,379,,,,,,1,,,,,,,
202,1190276,29,West Ham,6.748461538,1,T,24/11/2017,9,18,49.3,27,,1,8,,19,,28,,,2,23,2,381,5,3,4,1,,,,300,,,,,,,1,1,,,,,
203,1190276,14,Leicester,6.722307692,1,T,24/11/2017,12,9,50.7,21,1,,7,,24,,23,3,,,28,,404,5,5,2,1,1,1,1,313,,,,,,,,,,,,,
204,1190277,167,Manchester City,7.094285714,2,W,3/12/17,5,13,77,20,2,11,24,,22,3,17,,,,15,4,753,10,5,8,,,2,1,664,,,,,,,1,,2,,,,
205,1190277,29,West Ham,6.733571429,1,L,3/12/17,7,12,23,19,1,,7,,20,,15,1,1,,17,1,220,4,3,4,1,1,4,,158,,,,,,,1,,,,,,
206,1190278,162,Crystal Palace,6.688461538,2,T,18/11/2017,9,13,68.7,38,1,4,16,2,12,2,16,2,3,,17,,539,9,5,7,,,1,,439,,,,,,,,,2,,,,
207,1190278,31,Everton,6.975714286,2,T,18/11/2017,26,9,31.3,18,,1,8,1,34,1,17,,1,1,16,1,248,4,2,5,,1,1,,159,,,,,,,,,1,,,1,
208,1190279,13,Arsenal,7.745714286,5,W,29/11/2017,10,7,70.3,17,,6,21,,19,,13,,2,5,16,,813,7,8,7,2,3,2,,716,,,1,1,1,,,,1,,,,
209,1190279,166,Huddersfield,5.972142857,,L,29/11/2017,12,7,29.7,22,,2,7,,13,,16,,1,3,13,,337,2,3,2,,,3,1,259,,,,,,,,,,,,,
210,1190280,96,Stoke,6.909285714,2,W,2/12/17,12,9,44.1,29,,1,10,1,13,1,25,1,,2,19,,377,2,6,3,2,,3,,295,,,,,,,,1,1,,,,
211,1190280,259,Swansea,6.456428571,1,L,2/12/17,10,7,55.9,23,,5,10,1,24,2,19,,1,,25,,458,6,2,3,,1,,,372,,,,,,,,,,,,,
212,1190281,14,Leicester,6.178571429,,L,18/11/2017,8,10,25.3,26,,1,2,,11,,12,1,,,13,,266,1,1,,,,3,,175,,,,,,,,,,,,,
213,1190281,167,Manchester City,7.090714286,2,W,18/11/2017,10,13,74.7,19,3,2,12,,13,,13,,,2,12,1,784,7,6,4,1,,1,,705,1,1,,,,1,,,,,,,
214,1190282,183,Bournemouth,6.438571429,1,L,29/11/2017,9,5,62.1,28,,5,11,1,14,2,27,1,,,18,,567,4,4,2,1,,,,453,1,,,,,,,,,,,,
215,1190282,184,Burnley,6.895,2,W,29/11/2017,11,3,37.9,21,,4,10,,22,,18,,1,,27,,345,6,2,4,1,,1,1,247,,1,,,1,,,1,,,1,,
216,1190283,27,Watford,6.596428571,1,T,2/12/17,16,4,50.5,24,,2,6,,20,,19,,1,,15,,399,7,2,2,1,,1,,316,,,,,1,,,,1,1,,,
217,1190283,30,Tottenham,6.565714286,1,T,2/12/17,8,7,49.5,23,,2,8,,21,,15,2,1,1,19,,404,2,4,2,1,1,10,,329,,,,,,,,,,,,,
218,1190284,26,Liverpool,7.252857143,3,W,18/11/2017,15,15,61.1,25,1,7,21,1,11,1,11,3,4,1,18,,562,10,6,8,,,2,,472,1,2,,,,,,,,,,,
219,1190284,18,Southampton,6.253571429,,L,18/11/2017,9,3,38.9,20,,2,5,,26,,18,1,,1,11,,362,2,3,,1,,2,,261,,,,,,,,,,,,,
220,1190285,211,Brighton,6.796428571,,T,28/11/2017,13,8,53.2,28,1,2,10,1,19,,25,,2,1,28,1,452,10,4,4,2,,5,,334,,,,,,,,,,,,,
221,1190285,162,Crystal Palace,7.005833333,,T,28/11/2017,8,13,46.8,12,1,1,10,1,9,,28,1,2,1,25,,405,5,5,4,2,,,1,295,,,,,,,,,,,,,
222,1190286,175,West Bromwich Albion,6.97,,T,2/12/17,11,12,51.1,29,1,6,20,2,15,,27,2,1,1,31,3,395,3,8,6,4,,3,,288,,,,,,,,,,,,,
223,1190286,162,Crystal Palace,7.108333333,,T,2/12/17,10,10,48.9,24,,5,10,1,15,1,31,,1,2,27,,380,7,3,2,,,1,,271,,,,,,,,,,,,,
224,1190287,32,Manchester United,7.288571429,4,W,18/11/2017,10,12,64.7,26,1,3,16,1,15,,14,2,1,1,13,,620,11,6,7,2,1,1,,542,,,,,,1,,1,2,,,,
225,1190287,23,Newcastle United,6.432857143,1,L,18/11/2017,9,12,35.3,12,,1,12,1,18,,13,4,2,,14,,344,4,6,5,2,1,1,,260,,,,,,,1,,,,,,
226,1190288,14,Leicester,7.023571429,2,W,28/11/2017,7,9,37.4,22,,,7,,23,,16,1,,1,18,1,336,4,3,4,1,,2,,240,1,,,,,1,,,1,,,,
227,1190288,30,Tottenham,6.622142857,1,L,28/11/2017,10,10,62.6,25,,3,18,1,19,1,18,2,3,1,16,,561,9,9,6,5,,1,,465,,,,,,,1,1,,,,,
228,1190289,184,Burnley,7.107692308,1,W,9/12/17,10,5,49,18,,1,8,2,8,,41,1,,1,34,1,377,3,2,5,,,6,,251,,,,,,1,,,1,,,,
229,1190289,27,Watford,6.621538462,,L,9/12/17,12,4,51,20,1,1,11,,10,,34,,1,2,41,,394,5,8,2,5,,3,1,276,,,,,,,,,,,,,
230,1190290,27,Watford,7.230714286,2,W,19/11/2017,13,7,58.5,12,1,2,17,,13,,22,4,3,1,23,1,614,3,8,7,2,1,,1,515,,,,,,,,,1,,,,
231,1190290,29,West Ham,6.442307692,,L,19/11/2017,10,9,41.5,24,1,,10,1,6,,23,,3,1,22,2,434,1,4,6,2,,3,,336,,,,,,,,,,,,,
232,1190291,27,Watford,6.540714286,2,L,28/11/2017,12,14,59.4,25,,4,12,,16,,16,2,,2,16,1,496,5,5,3,,2,,,411,,,,,1,,,,,,1,1,
233,1190291,32,Manchester United,7.036428571,4,W,28/11/2017,10,13,40.6,25,,5,15,3,14,,16,1,,1,16,,346,5,3,7,1,1,,,257,1,1,,,,,,,1,,,,
234,1190292,167,Manchester City,7.080714286,3,W,5/11/17,15,16,58.2,16,,2,9,1,18,,5,,1,2,5,,624,5,2,5,,,3,,544,,1,,,,,,,2,,,1,
235,1190292,13,Arsenal,6.201428571,1,L,5/11/17,15,5,41.8,27,1,,6,1,16,,5,,1,,5,,450,5,3,3,2,1,3,,369,,,,,,,,,,,,,
236,1190293,162,Crystal Palace,6.82,2,T,9/12/17,14,5,45.1,20,1,8,24,3,18,1,23,2,1,1,12,2,345,6,8,8,3,,5,,257,,1,,,,,,1,,,,1,
237,1190293,183,Bournemouth,6.868571429,2,T,9/12/17,14,10,54.9,21,,3,11,1,19,1,12,,2,1,23,,442,3,3,5,1,1,3,,352,1,,,,,,,,,,,,1
238,1190294,175,West Bromwich Albion,6.114285714,,L,18/11/2017,13,10,38.6,18,1,,7,,18,,19,1,,1,13,,378,3,5,2,2,,3,2,307,,,,,,,,,,,,,
239,1190294,15,Chelsea,7.459285714,4,W,18/11/2017,12,15,61.4,15,,2,11,2,14,,13,1,,1,19,1,610,4,2,7,,1,1,,529,,1,1,,,,,,1,,,,
240,1190295,175,West Bromwich Albion,6.867857143,2,T,28/11/2017,13,11,47.9,20,,2,8,,22,,27,,,,27,1,401,1,2,4,1,1,,,305,,1,,,1,1,,,,,1,,
241,1190295,23,Newcastle United,6.641428571,2,T,28/11/2017,12,6,52.1,25,,5,14,,18,1,27,3,2,,27,1,435,6,5,4,1,,2,,342,1,,,,,,,,,,,,
242,1190296,23,Newcastle United,6.838571429,,L,4/11/17,11,8,48,14,1,3,16,1,19,2,31,3,,1,36,,373,11,9,4,1,,5,2,276,,,,1,1,,1,,,,,,
243,1190296,183,Bournemouth,7.057692308,1,W,4/11/17,12,5,52,26,1,4,16,1,10,2,36,1,,,31,3,407,9,6,6,2,,1,1,308,,,,,,,,1,,,,,
244,1190297,166,Huddersfield,7.260714286,2,W,9/12/17,6,6,58.4,28,,5,19,,23,,35,1,3,3,22,1,541,8,8,6,4,1,1,,403,,1,,,,,,,,,,,
245,1190297,211,Brighton,6.215,,L,9/12/17,10,5,41.6,29,1,3,7,1,17,,22,,,1,35,,391,1,2,2,,,5,,267,,,,,,,1,,,,,,
246,1190298,184,Burnley,6.580833333,,L,26/11/2017,8,9,36.3,9,1,3,8,,13,,19,,,,24,1,350,5,3,2,1,,4,,269,,,,,1,,1,,,1,,,
247,1190298,13,Arsenal,7.02,1,W,26/11/2017,14,14,63.7,20,3,7,18,1,11,1,24,3,,1,19,,636,5,9,2,1,1,3,,531,,,,,,,,,,,,1,
248,1190299,15,Chelsea,7.159285714,1,W,29/11/2017,10,12,61.1,25,1,4,21,1,22,1,21,3,1,2,9,5,608,15,7,10,,1,,2,518,,,,,,,,,,,,,
249,1190299,259,Swansea,6.467857143,,L,29/11/2017,7,4,38.9,22,,1,2,,16,1,9,,,,21,,404,1,1,,,,,,315,,,,,,,,,,,,,
250,1190300,18,Southampton,6.41,,L,4/11/17,4,11,62.8,27,1,4,13,1,15,1,16,,,2,23,,575,9,6,3,2,,2,,466,,,,,,1,1,,,,,,
251,1190300,184,Burnley,6.996923077,1,W,4/11/17,4,7,37.2,32,2,2,5,,11,,23,,,,16,,344,1,2,1,,,1,,239,,,,,,,,,1,,,,
252,1190301,26,Liverpool,6.727142857,1,T,10/12/17,8,18,79.4,30,2,8,23,,13,1,14,3,,4,14,,736,12,12,3,2,,1,,644,1,,,,,2,,,,,,,
253,1190301,31,Everton,6.566428571,1,T,10/12/17,11,1,20.6,11,,,3,1,21,,14,1,,,14,,197,1,1,2,,,,,99,,,1,,,,,,,,,1,
254,1190302,162,Crystal Palace,6.95,2,W,25/11/2017,9,9,54,38,,3,10,,27,,14,1,2,,15,1,492,5,2,5,1,,2,,379,,1,,,,,,,1,,,,
255,1190302,96,Stoke,6.753076923,1,L,25/11/2017,5,13,46,38,,1,10,1,20,,15,4,1,1,14,,425,2,6,3,1,,1,,327,,,,,,,,,1,,,,
256,1190303,31,Everton,7.564285714,4,W,29/11/2017,16,11,43.9,21,,1,8,1,19,,26,,,1,22,,411,2,2,5,1,1,2,,325,1,2,,,,,,,,,,,1
257,1190303,29,West Ham,6.057142857,,L,29/11/2017,6,17,56.1,30,,1,7,1,11,,22,,,2,26,1,511,6,3,3,,,1,1,406,,,,,1,,,,,,1,,1
258,1190304,96,Stoke,6.877692308,2,T,4/11/17,12,6,47.2,28,,1,11,2,15,1,27,1,2,,26,1,379,4,3,7,1,2,,,284,,,,,,,,,,,,,
259,1190304,14,Leicester,6.767857143,2,T,4/11/17,8,6,52.8,24,,5,14,,14,,26,2,,1,27,,424,10,5,4,2,,5,2,337,,1,,,,,,1,,,,,
260,1190305,32,Manchester United,6.523571429,1,L,10/12/17,16,14,35.4,20,,1,8,,22,1,13,,3,1,20,1,329,2,2,5,,1,4,,225,,,,,,,,,,,,,
261,1190305,167,Manchester City,6.844285714,2,W,10/12/17,10,17,64.6,20,1,4,14,2,18,,20,,2,2,13,,606,8,3,7,,,,,502,,,1,,,,1,,1,,,,
262,1190306,166,Huddersfield,6.358571429,1,L,26/11/2017,10,8,20.5,19,1,1,4,,16,,19,1,,,11,,184,3,3,,1,,3,,94,,,,,,,,,,,,,
263,1190306,167,Manchester City,6.797142857,2,W,26/11/2017,10,15,79.5,16,1,2,14,1,21,,11,2,1,2,19,,733,7,7,5,1,,3,,642,,,1,,1,,1,,1,,1,1,
264,1190307,167,Manchester City,6.983076923,2,W,29/11/2017,12,7,74.3,29,,6,26,2,16,,19,1,3,3,13,4,778,6,8,12,4,1,1,,668,,,,,,1,,1,,,,,
265,1190307,18,Southampton,6.756428571,1,L,29/11/2017,11,9,25.7,13,,2,7,1,15,,13,,,2,19,,270,5,3,2,,,1,,157,,,,,1,,,1,,,1,,
266,1190308,259,Swansea,6.551428571,,L,4/11/17,13,11,56.1,22,1,7,12,,12,,27,1,1,,23,,468,8,3,2,,,1,,379,,,,,1,1,,,,,1,,
267,1190308,211,Brighton,6.898571429,1,W,4/11/17,12,3,43.9,16,,1,5,,17,,23,1,,,27,,371,7,2,2,1,,2,1,267,,,,,,,,,1,,,,
