,Unnamed: 0,match_id,result,goals,team_id,team_name,team_rating,date,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,att_sv_low_right,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,att_miss_high_right,aerial_won,att_miss_high,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,att_goal_low_left,att_sv_low_left,att_goal_low_centre,att_miss_high_left,att_sv_high_centre,att_goal_low_right,att_sv_high_right,att_sv_high_left,att_pen_goal,att_goal_high_right,att_goal_high_left,post_scoring_att,att_post_left,att_post_right,att_post_high,att_goal_high_centre,penalty_save
199,199,959628,1,1,162,Crystal Palace,7.097692307692309,07/12/2015,6,0,13,25,5,38.0,251,331,1,18,8,3,1,5,1,14,1,3,14,11,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,200,959629,1,1,13,Arsenal,6.815,08/11/2015,7,1,5,35,16,54.9,344,458,0,32,5,1,1,4,0,12,1,3,10,12,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
201,201,959629,1,1,30,Tottenham,6.8114285714285705,08/11/2015,6,1,16,22,12,45.1,289,383,1,24,7,3,3,4,2,16,0,2,14,17,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
202,202,959630,0,1,167,Manchester City,6.44142857142857,21/11/2015,11,0,14,16,19,58.4,406,530,2,39,5,1,3,3,0,24,0,1,11,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
203,203,959630,3,4,26,Liverpool,7.46928571428571,21/11/2015,5,3,11,32,24,41.6,265,390,1,17,2,5,3,9,1,19,0,0,14,13,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,204,959631,1,2,26,Liverpool,6.781428571428571,13/12/2015,4,2,13,17,20,70.4,529,642,1,21,11,1,9,8,3,13,1,3,28,7,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
205,205,959631,1,2,175,West Bromwich Albion,6.865,13/12/2015,4,0,5,9,13,29.6,171,270,0,16,2,1,0,2,0,20,0,1,4,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,206,959632,0,1,27,Watford,6.501428571428571,28/12/2015,5,0,5,15,16,37.5,188,312,0,25,4,2,4,1,1,21,0,1,9,11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,207,959632,3,2,30,Tottenham,6.897142857142861,28/12/2015,3,1,10,12,21,62.5,410,525,0,35,7,1,0,3,1,16,0,2,10,13,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,208,959633,0,1,31,Everton,6.592142857142861,24/01/2016,7,1,11,16,8,59.7,491,592,1,25,11,2,7,2,1,21,1,4,20,5,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
209,209,959633,3,2,259,Swansea,6.79428571428572,24/01/2016,1,1,6,15,21,40.3,326,422,0,13,1,0,1,5,1,8,0,0,7,12,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
210,210,959634,1,2,15,Chelsea,6.69769230769231,13/01/2016,7,0,11,13,16,61.1,430,528,0,21,8,1,4,2,2,24,1,2,14,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,211,959634,1,2,175,West Bromwich Albion,6.755,13/01/2016,7,1,7,21,24,38.9,211,317,0,17,6,1,2,5,1,16,0,1,13,8,2,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
212,212,959635,1,2,15,Chelsea,6.61307692307692,26/12/2015,9,0,6,21,13,62.4,454,544,0,26,8,2,7,2,0,17,4,1,17,7,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
213,213,959635,1,2,27,Watford,6.583571428571429,26/12/2015,4,1,7,29,17,37.6,243,327,0,16,5,1,5,2,1,13,0,3,12,15,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
214,214,959636,3,2,13,Arsenal,7.205,14/02/2016,11,3,16,17,17,72.1,578,671,1,29,12,5,6,6,0,30,2,5,24,9,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,215,959636,0,1,14,Leicester,6.823571428571429,14/02/2016,1,0,9,37,30,27.9,160,269,0,15,4,2,0,3,0,17,1,2,7,10,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
216,216,959637,1,0,27,Watford,7.08071428571429,03/02/2016,7,1,12,20,11,45.0,348,449,0,27,2,0,7,3,0,19,0,2,12,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
217,217,959637,1,0,15,Chelsea,7.12416666666667,03/02/2016,7,1,12,22,19,55.0,460,555,1,15,3,2,5,4,0,11,0,1,12,13,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
218,218,959638,1,0,32,Manchester United,6.784285714285719,05/12/2015,6,1,12,18,23,62.6,412,496,0,30,11,2,9,1,3,12,3,1,21,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,219,959638,1,0,29,West Ham,7.07,05/12/2015,2,0,8,27,12,37.4,222,302,1,18,5,1,2,2,0,23,1,1,9,13,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
220,220,959639,1,0,24,Aston Villa,6.80071428571429,08/11/2015,3,0,16,7,19,40.7,323,410,0,19,3,1,0,0,0,12,2,0,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,221,959639,1,0,167,Manchester City,6.73071428571429,08/11/2015,8,2,5,16,12,59.3,492,578,0,26,5,1,5,3,1,19,2,0,13,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
222,222,959640,0,0,23,Newcastle United,6.297857142857139,21/11/2015,4,0,8,20,20,54.3,349,454,0,28,4,1,4,1,1,19,1,1,9,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,223,959640,3,3,14,Leicester,7.6078571428571395,21/11/2015,9,3,14,27,19,45.7,281,375,1,29,5,1,6,7,0,20,0,1,18,12,1,1,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0
224,224,959641,3,2,167,Manchester City,6.952142857142861,12/12/2015,5,1,8,15,13,53.0,496,557,0,15,4,3,4,5,1,5,0,0,13,13,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
225,225,959641,0,1,259,Swansea,6.588571428571429,12/12/2015,5,3,7,16,5,47.0,431,492,1,22,3,6,3,7,0,13,2,1,13,15,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
226,226,959642,3,1,175,West Bromwich Albion,7.23642857142857,28/12/2015,18,1,10,20,10,51.7,260,343,1,25,5,2,12,5,1,18,1,0,22,7,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
